Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Radial_D6.3mm_H5.0mm_P2.50mm,2,2.2uF,
"J1, J2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03,
"J10, J5, J6, J7, J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,5,Conn_01x04,
"J3, J4, J9",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,3,Conn_01x06,
"R1, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10,
"R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1,
